iter	Passed	Remaining
652	83791	44526
653	83909	44392
654	84031	44261
655	84161	44133
656	84277	43998
657	84398	43866
658	84520	43735
659	84643	43604
660	84789	43485
661	84903	43349
662	85060	43235
663	85190	43108
664	85305	42973
665	85423	42839
666	85567	42719
667	85693	42590
668	85821	42461
669	85954	42335
670	86069	42200
671	86206	42077
672	86323	41943
673	86441	41810
674	86564	41679
675	86692	41550
676	86822	41423
677	86954	41296
678	87084	41169
679	87199	41034
680	87324	40905
681	87451	40776
682	87581	40649
683	87705	40518
684	87837	40392
685	87949	40256
686	88070	40125
687	88188	39992
688	88307	39860
689	88431	39729
690	88556	39600
691	88683	39471
692	88807	39341
693	88926	39209
694	89064	39085
695	89201	38961
696	89339	38837
697	89465	38708
698	89591	38579
699	89715	38449
700	89836	38318
701	89953	38185
702	90080	38056
703	90196	37923
704	90318	37792
705	90437	37660
706	90570	37534
707	90708	37410
708	90839	37283
709	90965	37154
710	91093	37026
711	91213	36895
712	91331	36763
713	91458	36634
714	91589	36507
715	91720	36380
716	91842	36250
717	91973	36123
718	92082	35987
719	92225	35865
720	92360	35739
721	92483	35610
722	92619	35484
723	92762	35362
724	92914	35243
725	93040	35114
726	93171	34987
727	93290	34855
728	93409	34724
729	93536	34595
730	93661	34466
731	93785	34336
732	93915	34209
733	94049	34083
734	94179	33955
735	94307	33827
736	94428	33696
737	94550	33566
738	94686	33441
739	94816	33313
740	94931	33181
741	95052	33050
742	95184	32923
743	95300	32791
744	95432	32664
745	95561	32537
746	95697	32411
747	95838	32287
748	95960	32157
749	96088	32029
750	96200	31896
751	96319	31764
752	96440	31634
753	96569	31506
754	96704	31380
755	96833	31253
756	96953	31122
757	97072	30991
758	97190	30860
759	97307	30728
760	97422	30596
761	97557	30470
762	97677	30340
763	97803	30211
764	97923	30081
765	98033	29947
766	98156	29817
767	98285	29690
768	98411	29561
769	98540	29434
770	98672	29307
771	98799	29179
772	98922	29049
773	99042	28919
774	99161	28788
775	99285	28659
776	99403	28528
777	99536	28402
778	99664	28274
779	99796	28147
780	99941	28024
781	100116	27909
782	100294	27795
783	100413	27664
784	100554	27540
785	100696	27416
786	100825	27288
787	100962	27162
788	101090	27034
789	101212	26904
790	101338	26775
791	101486	26652
792	101618	26525
793	101748	26398
794	101883	26271
795	102001	26140
796	102131	26013
797	102257	25884
798	102383	25756
799	102512	25628
800	102661	25505
801	102780	25374
802	102902	25245
803	103035	25118
804	103166	24990
805	103292	24861
806	103409	24731
807	103545	24604
808	103671	24476
809	103808	24350
810	103929	24220
811	104047	24089
812	104175	23961
813	104302	23833
814	104424	23703
815	104569	23579
816	104716	23455
817	104835	23325
818	104958	23195
819	105073	23064
820	105211	22938
821	105340	22811
822	105471	22683
823	105600	22555
824	105733	22428
825	105860	22300
826	106001	22174
827	106121	22044
828	106234	21913
829	106353	21783
830	106495	21657
831	106624	21529
832	106751	21401
833	106888	21275
834	107013	21146
835	107128	21015
836	107250	20886
837	107376	20757
838	107510	20630
839	107649	20504
840	107774	20376
841	107907	20248
842	108035	20120
843	108153	19990
844	108282	19862
845	108402	19732
846	108546	19607
847	108670	19478
848	108801	19350
849	108924	19221
850	109051	19093
851	109185	18966
852	109326	18840
853	109458	18712
854	109583	18584
855	109709	18455
856	109830	18326
857	109946	18196
858	110071	18067
859	110208	17940
860	110327	17811
861	110456	17683
862	110578	17554
863	110710	17426
864	110839	17298
865	110966	17170
866	111084	17040
867	111208	16911
868	111326	16782
869	111457	16654
870	111583	16526
871	111720	16399
872	111853	16271
873	111969	16142
874	112092	16013
875	112232	15886
876	112356	15758
877	112486	15630
878	112606	15501
879	112733	15372
880	112858	15244
881	112979	15115
882	113154	14993
883	113272	14863
884	113400	14735
885	113538	14608
886	113673	14481
887	113790	14352
888	113909	14222
889	114037	14094
890	114166	13966
891	114286	13837
892	114419	13709
893	114545	13581
894	114680	13454
895	114803	13325
896	114923	13196
897	115042	13067
898	115163	12938
899	115284	12809
900	115420	12682
901	115540	12553
902	115667	12424
903	115798	12297
904	115934	12169
905	116108	12046
906	116224	11917
907	116353	11789
908	116486	11661
909	116617	11533
910	116744	11405
911	116878	11277
912	116991	11148
913	117117	11019
914	117245	10891
915	117360	10762
916	117497	10634
917	117625	10506
918	117768	10380
919	117900	10252
920	118028	10124
921	118155	9995
922	118275	9866
923	118419	9740
924	118551	9612
925	118684	9484
926	118819	9356
927	118933	9227
928	119063	9099
929	119192	8971
930	119327	8843
931	119473	8716
932	119598	8588
933	119752	8462
934	119875	8333
935	120008	8205
936	120129	8077
937	120255	7948
938	120379	7820
939	120509	7692
940	120641	7564
941	120768	7435
942	120891	7307
943	121019	7179
944	121134	7050
945	121251	6921
946	121376	6792
947	121502	6664
948	121624	6536
949	121739	6407
950	121858	6278
951	121981	6150
952	122102	6021
953	122224	5893
954	122352	5765
955	122484	5637
956	122607	5508
957	122737	5380
958	122853	5252
959	122973	5123
960	123090	4995
961	123206	4866
962	123323	4738
963	123458	4610
964	123591	4482
965	123722	4354
966	123844	4226
967	123976	4098
968	124100	3970
969	124221	3841
970	124342	3713
971	124490	3586
972	124646	3458
973	124795	3331
974	124933	3203
975	125067	3075
976	125206	2947
977	125338	2819
978	125476	2691
979	125639	2564
980	125784	2436
981	125947	2308
982	126085	2180
983	126216	2052
984	126333	1923
985	126459	1795
986	126593	1667
987	126711	1539
988	126837	1410
989	126967	1282
990	127081	1154
991	127211	1025
992	127349	897
993	127479	769
994	127619	641
995	127767	513
996	127901	384
997	128031	256
998	128161	128
999	128297	0
